2.43,luz,27,luz,luz,luz,NC,luz,' l u T ,luz,' l u T ,luz,' l u T ,luz,' l u T ,luz,'luT,luz,'luT
2.04,macarrones,11,macarrones,macarrón,macarrón,NC,macarrón,m a . k a ' r o n ,macarrones,m a . k a ' r o . n e s ,macarrón,m a . k a ' r o n ,macarrones,m a . k a ' r o . n e s ,macarrón,ma.ka'ron,macarrones,ma.ka'ro.nes
1.3,madera,2,madera,madera,madera,NC,madera,m a ' D_o e . 4 a ,madera,m a ' D_o e . 4 a ,madera,m a ' d e . 4 a ,madera,m a ' d e . 4 a ,madera,ma'de.4a,madera,ma'de.4a
1,maderas,1,maderas,madera,madera,NC,madera,m a ' D_o e . 4 a ,maderas,m a ' D_o e . 4 a s ,madera,m a ' d e . 4 a ,maderas,m a ' d e . 4 a s ,madera,ma'de.4a,maderas,ma'de.4as
1,madero,1,madero,madero,madero,NC,madero,m a ' D_o e . 4 o ,madero,m a ' D_o e . 4 o ,madero,m a ' d e . 4 o ,madero,m a ' d e . 4 o ,madero,ma'de.4o,madero,ma'de.4o
2.72,madre,53,madre,madre,madre,NC,madre,' m a . D_o 4 e ,madre,' m a . D_o 4 e ,madre,' m a . d 4 e ,madre,' m a . d 4 e ,madre,'ma.d4e,madre,'ma.d4e
1,madres,1,madres,madre,madre,NC,madre,' m a . D_o 4 e ,madres,' m a . D_o 4 e s ,madre,' m a . d 4 e ,madres,' m a . d 4 e s ,madre,'ma.d4e,madres,'ma.d4es
1.85,Madrid,7,madrid,madrid,madrid,NP,madrid,m a ' D_o 4 i D ,Madrid,m a ' D_o 4 i D ,madrid,m a ' d 4 i d ,Madrid,m a ' d 4 i d ,madrid,ma'd4id,Madrid,ma'd4id
1,madrina,1,madrina,madrina,madrina,NC,madrina,m a ' D_o 4 i . n a ,madrina,m a ' D_o 4 i . n a ,madrina,m a ' d 4 i . n a ,madrina,m a ' d 4 i . n a ,madrina,ma'd4i.na,madrina,ma'd4i.na
1.48,magdalena,3,magdalena,magdalena,magdalena,NC,magdalena,m a G_o . D_o a ' l e . n a ,magdalena,m a G_o . D_o a ' l e . n a ,magdalena,m a g . d a ' l e . n a ,magdalena,m a g . d a ' l e . n a ,magdalena,mag.da'le.na,magdalena,mag.da'le.na
1.3,magdalenas,2,magdalenas,magdalena,magdalena,NC,magdalena,m a G_o . D_o a ' l e . n a ,magdalenas,m a G_o . D_o a ' l e . n a s ,magdalena,m a g . d a ' l e . n a ,magdalenas,m a g . d a ' l e . n a s ,magdalena,mag.da'le.na,magdalenas,mag.da'le.nas
1.7,magia,5,magia,magia,magia,NC,magia,' m a . x j a ,magia,' m a . x j a ,magia,' m a . x j a ,magia,' m a . x j a ,magia,'ma.xja,magia,'ma.xja
1,mágica,1,mágica,mágico,mágico,AQ,mágico,' m a . x i . k o ,mágica,' m a . x i . k a ,mágico,' m a . x i . k o ,mágica,' m a . x i . k a ,mágico,'ma.xi.ko,mágica,'ma.xi.ka
1,magico,1,magico,mago,mago,AQ,mago,' m a . G_o o ,magico,m a ' x i . k o ,mago,' m a . g o ,magico,m a ' x i . k o ,mago,'ma.go,magico,ma'xi.ko
2.04,Mago,11,mago,mago,mago,NC,mago,' m a . G_o o ,Mago,' m a . G_o o ,mago,' m a . g o ,Mago,' m a . g o ,mago,'ma.go,Mago,'ma.go
2.26,Magos,18,magos,mago,mago,NC,mago,' m a . G_o o ,Magos,' m a . G_o o s ,mago,' m a . g o ,Magos,' m a . g o s ,mago,'ma.go,Magos,'ma.gos
3,Maialen,101,maialen,maialen,maialen,NP,maialen,m a ' j a . l e n ,Maialen,m a ' j a . l e n ,maialen,m a ' j a . l e n ,Maialen,m a ' j a . l e n ,maialen,ma'ja.len,Maialen,ma'ja.len
1,Mailen,1,mailen,mailen,mailen,NP,mailen,' m a i_^ . l e n ,Mailen,' m a i_^ . l e n ,mailen,' m a i . l e n ,Mailen,' m a i . l e n ,mailen,'mai.len,Mailen,'mai.len
2.81,Maite,64,maite,maite,maite,NP,maite,' m a i_^ . t e ,Maite,' m a i_^ . t e ,maite,' m a i . t e ,Maite,' m a i . t e ,maite,'mai.te,Maite,'mai.te
1.3,maíz,2,maíz,maíz,maíz,NC,maíz,' m a i T ,maíz,' m a i T ,maíz,' m a i T ,maíz,' m a i T ,maíz,'maiT,maíz,'maiT
1,majico,1,majico,majo,majo,AQ,majo,' m a . x o ,majico,m a ' x i . k o ,majo,' m a . x o ,majico,m a ' x i . k o ,majo,'ma.xo,majico,ma'xi.ko
1.3,majo,2,majo,majo,majo,NC,majo,' m a . x o ,majo,' m a . x o ,majo,' m a . x o ,majo,' m a . x o ,majo,'ma.xo,majo,'ma.xo
2.68,mal,48,mal,mal,mal,RG,mal,' m a l ,mal,' m a l ,mal,' m a l ,mal,' m a l ,mal,'mal,mal,'mal
2.15,mala,14,mala,malo,malo,AQ,malo,' m a . l o ,mala,' m a . l a ,malo,' m a . l o ,mala,' m a . l a ,malo,'ma.lo,mala,'ma.la
1.7,maleta,5,maleta,maleta,maleta,NC,maleta,m a ' l e . t a ,maleta,m a ' l e . t a ,maleta,m a ' l e . t a ,maleta,m a ' l e . t a ,maleta,ma'le.ta,maleta,ma'le.ta
1.48,maletas,3,maletas,maleta,maleta,NC,maleta,m a ' l e . t a ,maletas,m a ' l e . t a s ,maleta,m a ' l e . t a ,maletas,m a ' l e . t a s ,maleta,ma'le.ta,maletas,ma'le.tas
1,maletero,1,maletero,maletero,maletero,NC,maletero,m a . l e ' t e . 4 o ,maletero,m a . l e ' t e . 4 o ,maletero,m a . l e ' t e . 4 o ,maletero,m a . l e ' t e . 4 o ,maletero,ma.le'te.4o,maletero,ma.le'te.4o
1.3,maletón,2,maletón,maleta,maleta,NC,maleta,m a ' l e . t a ,maletón,m a . l e ' t o n ,maleta,m a ' l e . t a ,maletón,m a . l e ' t o n ,maleta,ma'le.ta,maletón,ma.le'ton
2,malita,10,malita,malo,malo,AQ,malo,' m a . l o ,malita,m a ' l i . t a ,malo,' m a . l o ,malita,m a ' l i . t a ,malo,'ma.lo,malita,ma'li.ta
1,malitita,1,malitita,malitita,malitita,NC,malitita,m a . l i ' t i . t a ,malitita,m a . l i ' t i . t a ,malitita,m a . l i ' t i . t a ,malitita,m a . l i ' t i . t a ,malitita,ma.li'ti.ta,malitita,ma.li'ti.ta
1.3,malito,2,malito,mal,mal,AQ,mal,' m a l ,malito,m a ' l i . t o ,mal,' m a l ,malito,m a ' l i . t o ,mal,'mal,malito,ma'li.to
1.3,malitos,2,malitos,mal,mal,AQ,mal,' m a l ,malitos,m a ' l i . t o s ,mal,' m a l ,malitos,m a ' l i . t o s ,mal,'mal,malitos,ma'li.tos
3.06,malo,116,malo,malo,malo,AQ,malo,' m a . l o ,malo,' m a . l o ,malo,' m a . l o ,malo,' m a . l o ,malo,'ma.lo,malo,'ma.lo
2.7,malos,50,malos,malo,malo,AQ,malo,' m a . l o ,malos,' m a . l o s ,malo,' m a . l o ,malos,' m a . l o s ,malo,'ma.lo,malos,'ma.los
1.48,mama,3,mama,mama,mama,NC,mama,' m ~a . m a ,mama,' m ~a . m a ,mama,' m a . m a ,mama,' m a . m a ,mama,'ma.ma,mama,'ma.ma
4.08,mamá,1201,mamá,mamá,mamá,NC,mamá,m ~a ' m a ,mamá,m ~a ' m a ,mamá,m a ' m a ,mamá,m a ' m a ,mamá,ma'ma,mamá,ma'ma
1.9,mamás,8,mamás,mamá,mamá,NC,mamá,m ~a ' m a ,mamás,m ~a ' m a s ,mamá,m a ' m a ,mamás,m a ' m a s ,mamá,ma'ma,mamás,ma'mas
1,Mamen,1,mamen,mamar,mamar,VMS,mamar,m ~a ' m a 4 ,Mamen,' m ~a . m ~e n ,mamar,m a ' m a 4 ,Mamen,' m a . m e n ,mamar,ma'ma4,Mamen,'ma.men
2.63,mami,43,mami,mami,mami,AQ,mami,' m ~a . m i ,mami,' m ~a . m i ,mami,' m a . m i ,mami,' m a . m i ,mami,'ma.mi,mami,'ma.mi
1,mamica,1,mamica,mama,mama,NC,mama,' m ~a . m a ,mamica,m ~a ' m i . k a ,mama,' m a . m a ,mamica,m a ' m i . k a ,mama,'ma.ma,mamica,ma'mi.ka
1.6,mamita,4,mamita,mama,mama,NC,mama,' m ~a . m a ,mamita,m ~a ' m i . t a ,mama,' m a . m a ,mamita,m a ' m i . t a ,mama,'ma.ma,mamita,ma'mi.ta
1,Mampara,1,mampara,mampara,mampara,NC,mampara,m ~a m ' p a . 4 a ,Mampara,m ~a m ' p a . 4 a ,mampara,m a m ' p a . 4 a ,Mampara,m a m ' p a . 4 a ,mampara,mam'pa.4a,Mampara,mam'pa.4a
2.51,mañana,32,mañana,mañana,mañana,RG,mañana,m ~a ' J ~a . n a ,mañana,m ~a ' J ~a . n a ,mañana,m a ' J a . n a ,mañana,m a ' J a . n a ,mañana,ma'Ja.na,mañana,ma'Ja.na
1.3,mancha,2,mancha,mancha,mancha,NC,mancha,' m ~a n_j . tS a ,mancha,' m ~a n_j . tS a ,mancha,' m a n . C a ,mancha,' m a n . C a ,mancha,'man.Ca,mancha,'man.Ca
1.6,manchado,4,manchado,manchar,manchar,VMP,manchar,m ~a n_j ' tS a 4 ,manchado,m ~a n_j ' tS a . D_o o ,manchar,m a n ' C a 4 ,manchado,m a n ' C a . d o ,manchar,man'Ca4,manchado,man'Ca.do
1,manchar,1,manchar,manchar,manchar,VMN,manchar,m ~a n_j ' tS a 4 ,manchar,m ~a n_j ' tS a 4 ,manchar,m a n ' C a 4 ,manchar,m a n ' C a 4 ,manchar,man'Ca4,manchar,man'Ca4
1.3,manda,2,manda,manda,manda,NC,manda,' m ~a n_d . d a ,manda,' m ~a n_d . d a ,manda,' m a n . d a ,manda,' m a n . d a ,manda,'man.da,manda,'man.da
1,mandábamos,1,mandábamos,mandar,mandar,VMI,mandar,m ~a n_d ' d a 4 ,mandábamos,m ~a n_d ' d a . B_o a . m o s ,mandar,m a n ' d a 4 ,mandábamos,m a n ' d a . b a . m o s ,mandar,man'da4,mandábamos,man'da.ba.mos
1,mandado,1,mandado,mandar,mandar,VMP,mandar,m ~a n_d ' d a 4 ,mandado,m ~a n_d ' d a . D_o o ,mandar,m a n ' d a 4 ,mandado,m a n ' d a . d o ,mandar,man'da4,mandado,man'da.do
1.3,mandar,2,mandar,mandar,mandar,VMN,mandar,m ~a n_d ' d a 4 ,mandar,m ~a n_d ' d a 4 ,mandar,m a n ' d a 4 ,mandar,m a n ' d a 4 ,mandar,man'da4,mandar,man'da4
1.48,mandarina,3,mandarina,mandarina,mandarina,NC,mandarina,m ~a n_d . d a ' 4 i . n a ,mandarina,m ~a n_d . d a ' 4 i . n a ,mandarina,m a n . d a ' 4 i . n a ,mandarina,m a n . d a ' 4 i . n a ,mandarina,man.da'4i.na,mandarina,man.da'4i.na
1.3,mandarinas,2,mandarinas,mandarina,mandarina,NC,mandarina,m ~a n_d . d a ' 4 i . n a ,mandarinas,m ~a n_d . d a ' 4 i . n a s ,mandarina,m a n . d a ' 4 i . n a ,mandarinas,m a n . d a ' 4 i . n a s ,mandarina,man.da'4i.na,mandarinas,man.da'4i.nas
1,mandas,1,mandas,manda,manda,NC,manda,' m ~a n_d . d a ,mandas,' m ~a n_d . d a s ,manda,' m a n . d a ,mandas,' m a n . d a s ,manda,'man.da,mandas,'man.das
1.78,mando,6,mando,mando,mando,NC,mando,' m ~a n_d . d o ,mando,' m ~a n_d . d o ,mando,' m a n . d o ,mando,' m a n . d o ,mando,'man.do,mando,'man.do
1,maneja,1,maneja,manejar,manejar,VMI,manejar,m ~a . n e ' x a 4 ,maneja,m ~a ' n e . x a ,manejar,m a . n e ' x a 4 ,maneja,m a ' n e . x a ,manejar,ma.ne'xa4,maneja,ma'ne.xa
1,manejar,1,manejar,manejar,manejar,VMN,manejar,m ~a . n e ' x a 4 ,manejar,m ~a . n e ' x a 4 ,manejar,m a . n e ' x a 4 ,manejar,m a . n e ' x a 4 ,manejar,ma.ne'xa4,manejar,ma.ne'xa4
1.3,Manel,2,manel,manel,manel,NP,manel,m ~a ' n e l ,Manel,m ~a ' n e l ,manel,m a ' n e l ,Manel,m a ' n e l ,manel,ma'nel,Manel,ma'nel
1.3,manga,2,manga,manga,manga,NC,manga,' m ~a n_g . g a ,manga,' m ~a n_g . g a ,manga,' m a n . g a ,manga,' m a n . g a ,manga,'man.ga,manga,'man.ga
1,mangitos,1,mangitos,mango,mango,NC,mango,' m ~a n_g . g o ,mangitos,m ~a n_g ' x i . t o s ,mango,' m a n . g o ,mangitos,m a n ' x i . t o s ,mango,'man.go,mangitos,man'xi.tos
1,manitas,1,manitas,manita,manita,NC,manita,m ~a ' n i . t a ,manitas,m ~a ' n i . t a s ,manita,m a ' n i . t a ,manitas,m a ' n i . t a s ,manita,ma'ni.ta,manitas,ma'ni.tas
2.67,mano,47,mano,mano,mano,NC,mano,' m ~a . n o ,mano,' m ~a . n o ,mano,' m a . n o ,mano,' m a . n o ,mano,'ma.no,mano,'ma.no
2.51,Manolo,32,manolo,manolo,manolo,NC,manolo,m ~a ' n o . l o ,Manolo,m ~a ' n o . l o ,manolo,m a ' n o . l o ,Manolo,m a ' n o . l o ,manolo,ma'no.lo,Manolo,ma'no.lo
2.23,manos,17,manos,mano,mano,NC,mano,' m ~a . n o ,manos,' m ~a . n o s ,mano,' m a . n o ,manos,' m a . n o s ,mano,'ma.no,manos,'ma.nos
1.48,manta,3,manta,manta,manta,NC,manta,' m ~a n_d . t a ,manta,' m ~a n_d . t a ,manta,' m a n . t a ,manta,' m a n . t a ,manta,'man.ta,manta,'man.ta
1.48,mantas,3,mantas,manta,manta,NC,manta,' m ~a n_d . t a ,mantas,' m ~a n_d . t a s ,manta,' m a n . t a ,mantas,' m a n . t a s ,manta,'man.ta,mantas,'man.tas
1,mantel,1,mantel,mantel,mantel,NC,mantel,m ~a n_d ' t e l ,mantel,m ~a n_d ' t e l ,mantel,m a n ' t e l ,mantel,m a n ' t e l ,mantel,man'tel,mantel,man'tel
1.3,Manuel,2,manuel,manuel,manuel,NP,manuel,m ~a ' n w e l ,Manuel,m ~a ' n w e l ,manuel,m a ' n w e l ,Manuel,m a ' n w e l ,manuel,ma'nwel,Manuel,ma'nwel
1.3,manzana,2,manzana,manzana,manzana,NC,manzana,m ~a n_d_+ ' T a . n a ,manzana,m ~a n_d_+ ' T a . n a ,manzana,m a n ' T a . n a ,manzana,m a n ' T a . n a ,manzana,man'Ta.na,manzana,man'Ta.na
1.3,manzanas,2,manzanas,manzana,manzana,NC,manzana,m ~a n_d_+ ' T a . n a ,manzanas,m ~a n_d_+ ' T a . n a s ,manzana,m a n ' T a . n a ,manzanas,m a n ' T a . n a s ,manzana,man'Ta.na,manzanas,man'Ta.nas
1.85,maquinista,7,maquinista,maquinista,maquinista,NC,maquinista,m a . k i ' n i s . t a ,maquinista,m a . k i ' n i s . t a ,maquinista,m a . k i ' n i s . t a ,maquinista,m a . k i ' n i s . t a ,maquinista,ma.ki'nis.ta,maquinista,ma.ki'nis.ta
1,maquinistas,1,maquinistas,maquinista,maquinista,NC,maquinista,m a . k i ' n i s . t a ,maquinistas,m a . k i ' n i s . t a s ,maquinista,m a . k i ' n i s . t a ,maquinistas,m a . k i ' n i s . t a s ,maquinista,ma.ki'nis.ta,maquinistas,ma.ki'nis.tas
2.49,mar,31,mar,mar,mar,NC,mar,' m a 4 ,mar,' m a 4 ,mar,' m a 4 ,mar,' m a 4 ,mar,'ma4,mar,'ma4
1,maravilloso,1,maravilloso,maravilloso,maravilloso,AQ,maravilloso,m a . 4 a . B_o i ' j\\ o . s o ,maravilloso,m a . 4 a . B_o i ' j\\ o . s o ,maravilloso,m a . 4 a . b i ' L o . s o ,maravilloso,m a . 4 a . b i ' L o . s o ,maravilloso,ma.4a.bi'Lo.so,maravilloso,ma.4a.bi'Lo.so
1,marca,1,marca,marca,marca,NC,marca,' m a 4 . k a ,marca,' m a 4 . k a ,marca,' m a 4 . k a ,marca,' m a 4 . k a ,marca,'ma4.ka,marca,'ma4.ka
1,marcado,1,marcado,marcar,marcar,VMP,marcar,m a 4 ' k a 4 ,marcado,m a 4 ' k a . D_o o ,marcar,m a 4 ' k a 4 ,marcado,m a 4 ' k a . d o ,marcar,ma4'ka4,marcado,ma4'ka.do
1.3,marcan,2,marcan,marcar,marcar,VMI,marcar,m a 4 ' k a 4 ,marcan,' m a 4 . k a n ,marcar,m a 4 ' k a 4 ,marcan,' m a 4 . k a n ,marcar,ma4'ka4,marcan,'ma4.kan
1,marcar,1,marcar,marcar,marcar,VMN,marcar,m a 4 ' k a 4 ,marcar,m a 4 ' k a 4 ,marcar,m a 4 ' k a 4 ,marcar,m a 4 ' k a 4 ,marcar,ma4'ka4,marcar,ma4'ka4
1,marcha,1,marcha,marcha,marcha,NC,marcha,' m a 4 . tS a ,marcha,' m a 4 . tS a ,marcha,' m a 4 . C a ,marcha,' m a 4 . C a ,marcha,'ma4.Ca,marcha,'ma4.Ca
1.3,marchando,2,marchando,marchar,marchar,VMG,marchar,m a 4 ' tS a 4 ,marchando,m a 4 ' tS a n_d . d o ,marchar,m a 4 ' C a 4 ,marchando,m a 4 ' C a n . d o ,marchar,ma4'Ca4,marchando,ma4'Can.do
1,marcho,1,marcho,marchar,marchar,VMI,marchar,m a 4 ' tS a 4 ,marcho,' m a 4 . tS o ,marchar,m a 4 ' C a 4 ,marcho,' m a 4 . C o ,marchar,ma4'Ca4,marcho,'ma4.Co
1,marchó,1,marchó,marchar,marchar,VMI,marchar,m a 4 ' tS a 4 ,marchó,m a 4 ' tS o ,marchar,m a 4 ' C a 4 ,marchó,m a 4 ' C o ,marchar,ma4'Ca4,marchó,ma4'Co
1.3,marco,2,marco,marco,marco,NC,marco,' m a 4 . k o ,marco,' m a 4 . k o ,marco,' m a 4 . k o ,marco,' m a 4 . k o ,marco,'ma4.ko,marco,'ma4.ko
1,marea,1,marea,marea,marea,NC,marea,m a ' 4 e . a ,marea,m a ' 4 e . a ,marea,m a ' 4 e . a ,marea,m a ' 4 e . a ,marea,ma'4e.a,marea,ma'4e.a
1.6,Margari,4,margari,margari,margari,NP,margari,m a 4 ' G_o a . 4 i ,Margari,m a 4 ' G_o a . 4 i ,margari,m a 4 ' g a . 4 i ,Margari,m a 4 ' g a . 4 i ,margari,ma4'ga.4i,Margari,ma4'ga.4i
1.48,Margarita,3,margarita,margarita,margarita,NC,margarita,m a 4 . G_o a ' 4 i . t a ,Margarita,m a 4 . G_o a ' 4 i . t a ,margarita,m a 4 . g a ' 4 i . t a ,Margarita,m a 4 . g a ' 4 i . t a ,margarita,ma4.ga'4i.ta,Margarita,ma4.ga'4i.ta
1,margaritas,1,margaritas,margarita,margarita,NC,margarita,m a 4 . G_o a ' 4 i . t a ,margaritas,m a 4 . G_o a ' 4 i . t a s ,margarita,m a 4 . g a ' 4 i . t a ,margaritas,m a 4 . g a ' 4 i . t a s ,margarita,ma4.ga'4i.ta,margaritas,ma4.ga'4i.tas
1.6,Mari,4,mari,mari,mari,NP,mari,' m a . 4 i ,Mari,' m a . 4 i ,mari,' m a . 4 i ,Mari,' m a . 4 i ,mari,'ma.4i,Mari,'ma.4i
1.3,Maria,2,maria,maria,maria,NP,maria,' m a . 4 j a ,Maria,' m a . 4 j a ,maria,' m a . 4 j a ,Maria,' m a . 4 j a ,maria,'ma.4ja,Maria,'ma.4ja
2.67,María,47,maría,maría,maría,NC,maría,m a ' 4 i a ,María,m a ' 4 i a ,maría,m a ' 4 i a ,María,m a ' 4 i a ,maría,ma'4ia,María,ma'4ia
1,Mariamor,1,mariamor,mariamor,mariamor,NP,mariamor,m a . 4 j a ' m o 4 ,Mariamor,m a . 4 j a ' m o 4 ,mariamor,m a . 4 j a ' m o 4 ,Mariamor,m a . 4 j a ' m o 4 ,mariamor,ma.4ja'mo4,Mariamor,ma.4ja'mo4
1,Marian,1,marian,marian,marian,NP,marian,' m a . 4 j a n ,Marian,' m a . 4 j a n ,marian,' m a . 4 j a n ,Marian,' m a . 4 j a n ,marian,'ma.4jan,Marian,'ma.4jan
1.48,Mariangeles,3,mariangeles,mariangeles,mariangeles,NP,mariangeles,m a . 4 j a n_g ' x e . l e s ,Mariangeles,m a . 4 j a n_g ' x e . l e s ,mariangeles,m a . 4 j a n ' x e . l e s ,Mariangeles,m a . 4 j a n ' x e . l e s ,mariangeles,ma.4jan'xe.les,Mariangeles,ma.4jan'xe.les
1,Mariano,1,mariano,mariano,mariano,AQ,mariano,m a ' 4 j a . n o ,Mariano,m a ' 4 j a . n o ,mariano,m a ' 4 j a . n o ,Mariano,m a ' 4 j a . n o ,mariano,ma'4ja.no,Mariano,ma'4ja.no
1,Maricruz,1,maricruz,maricruz,maricruz,NP,maricruz,m a . 4 i ' k 4 u T ,Maricruz,m a . 4 i ' k 4 u T ,maricruz,m a . 4 i ' k 4 u T ,Maricruz,m a . 4 i ' k 4 u T ,maricruz,ma.4i'k4uT,Maricruz,ma.4i'k4uT
1,marido,1,marido,marido,marido,NC,marido,m a ' 4 i . D_o o ,marido,m a ' 4 i . D_o o ,marido,m a ' 4 i . d o ,marido,m a ' 4 i . d o ,marido,ma'4i.do,marido,ma'4i.do
1.3,Marijose,2,marijose,marijose,marijose,NP,marijose,m a . 4 i ' x o . s e ,Marijose,m a . 4 i ' x o . s e ,marijose,m a . 4 i ' x o . s e ,Marijose,m a . 4 i ' x o . s e ,marijose,ma.4i'xo.se,Marijose,ma.4i'xo.se
1,Marimar,1,marimar,marimar,marimar,NP,marimar,m a . 4 i ' m a 4 ,Marimar,m a . 4 i ' m a 4 ,marimar,m a . 4 i ' m a 4 ,Marimar,m a . 4 i ' m a 4 ,marimar,ma.4i'ma4,Marimar,ma.4i'ma4
1.3,Marina,2,marina,marina,marina,NC,marina,m a ' 4 i . n a ,Marina,m a ' 4 i . n a ,marina,m a ' 4 i . n a ,Marina,m a ' 4 i . n a ,marina,ma'4i.na,Marina,ma'4i.na
1,marinerito,1,marinerito,marinero,marinero,AQ,marinero,m a . 4 i ' n e . 4 o ,marinerito,m a . 4 i . n e ' 4 i . t o ,marinero,m a . 4 i ' n e . 4 o ,marinerito,m a . 4 i . n e ' 4 i . t o ,marinero,ma.4i'ne.4o,marinerito,ma.4i.ne'4i.to
1.3,marinero,2,marinero,marinero,marinero,NC,marinero,m a . 4 i ' n e . 4 o ,marinero,m a . 4 i ' n e . 4 o ,marinero,m a . 4 i ' n e . 4 o ,marinero,m a . 4 i ' n e . 4 o ,marinero,ma.4i'ne.4o,marinero,ma.4i'ne.4o
1.3,marineros,2,marineros,marinero,marinero,NC,marinero,m a . 4 i ' n e . 4 o ,marineros,m a . 4 i ' n e . 4 o s ,marinero,m a . 4 i ' n e . 4 o ,marineros,m a . 4 i ' n e . 4 o s ,marinero,ma.4i'ne.4o,marineros,ma.4i'ne.4os
1,marino,1,marino,marino,marino,NC,marino,m a ' 4 i . n o ,marino,m a ' 4 i . n o ,marino,m a ' 4 i . n o ,marino,m a ' 4 i . n o ,marino,ma'4i.no,marino,ma'4i.no
1,Maripan,1,maripan,maripan,maripan,NP,maripan,m a ' 4 i . p a n ,Maripan,m a ' 4 i . p a n ,maripan,m a ' 4 i . p a n ,Maripan,m a ' 4 i . p a n ,maripan,ma'4i.pan,Maripan,ma'4i.pan
1,Maripon,1,maripon,maripon,maripon,NP,maripon,m a ' 4 i . p o n ,Maripon,m a ' 4 i . p o n ,maripon,m a ' 4 i . p o n ,Maripon,m a ' 4 i . p o n ,maripon,ma'4i.pon,Maripon,ma'4i.pon
1.3,mariposas,2,mariposas,mariposa,mariposa,NC,mariposa,m a . 4 i ' p o . s a ,mariposas,m a . 4 i ' p o . s a s ,mariposa,m a . 4 i ' p o . s a ,mariposas,m a . 4 i ' p o . s a s ,mariposa,ma.4i'po.sa,mariposas,ma.4i'po.sas
1,mariquitas,1,mariquitas,mariquita,mariquita,NC,mariquita,m a . 4 i ' k i . t a ,mariquitas,m a . 4 i ' k i . t a s ,mariquita,m a . 4 i ' k i . t a ,mariquitas,m a . 4 i ' k i . t a s ,mariquita,ma.4i'ki.ta,mariquitas,ma.4i'ki.tas
1.3,Marisa,2,marisa,marisa,marisa,NP,marisa,m a ' 4 i . s a ,Marisa,m a ' 4 i . s a ,marisa,m a ' 4 i . s a ,Marisa,m a ' 4 i . s a ,marisa,ma'4i.sa,Marisa,ma'4i.sa
1.3,Marisita,2,marisita,marisita,marisita,NP,marisita,m a . 4 i ' s i . t a ,Marisita,m a . 4 i ' s i . t a ,marisita,m a . 4 i ' s i . t a ,Marisita,m a . 4 i ' s i . t a ,marisita,ma.4i'si.ta,Marisita,ma.4i'si.ta
1,Maristas,1,maristas,marista,marista,AQ,marista,m a ' 4 i s . t a ,Maristas,m a ' 4 i s . t a s ,marista,m a ' 4 i s . t a ,Maristas,m a ' 4 i s . t a s ,marista,ma'4is.ta,Maristas,ma'4is.tas
2.11,marrón,13,marrón,marrón,marrón,AQ,marrón,m a ' r o n ,marrón,m a ' r o n ,marrón,m a ' r o n ,marrón,m a ' r o n ,marrón,ma'ron,marrón,ma'ron
3.14,Marta,139,marta,marta,marta,NC,marta,' m a 4 . t a ,Marta,' m a 4 . t a ,marta,' m a 4 . t a ,Marta,' m a 4 . t a ,marta,'ma4.ta,Marta,'ma4.ta
1.3,martillar,2,martillar,martillar,martillar,VMN,martillar,m a 4 . t i ' j\\ a 4 ,martillar,m a 4 . t i ' j\\ a 4 ,martillar,m a 4 . t i ' L a 4 ,martillar,m a 4 . t i ' L a 4 ,martillar,ma4.ti'La4,martillar,ma4.ti'La4
1,martille,1,martille,martillar,martillar,VMS,martillar,m a 4 . t i ' j\\ a 4 ,martille,m a 4 ' t i . j\\ e ,martillar,m a 4 . t i ' L a 4 ,martille,m a 4 ' t i . L e ,martillar,ma4.ti'La4,martille,ma4'ti.Le
1.48,martillo,3,martillo,martillo,martillo,NC,martillo,m a 4 ' t i . j\\ o ,martillo,m a 4 ' t i . j\\ o ,martillo,m a 4 ' t i . L o ,martillo,m a 4 ' t i . L o ,martillo,ma4'ti.Lo,martillo,ma4'ti.Lo
1.48,Martín,3,martín,martín,martín,NP,martín,m a 4 ' t i n ,Martín,m a 4 ' t i n ,martín,m a 4 ' t i n ,Martín,m a 4 ' t i n ,martín,ma4'tin,Martín,ma4'tin
1,mas,1,mas,mas,mas,CC,mas,' m a s ,mas,' m a s ,mas,' m a s ,mas,' m a s ,mas,'mas,mas,'mas
3.65,más,442,más,más,más,RG,más,' m a s ,más,' m a s ,más,' m a s ,más,' m a s ,más,'mas,más,'mas
1.78,mata,6,mata,mata,mata,NC,mata,' m a . t a ,mata,' m a . t a ,mata,' m a . t a ,mata,' m a . t a ,mata,'ma.ta,mata,'ma.ta
1.3,mataba,2,mataba,matar,matar,VMI,matar,m a ' t a 4 ,mataba,m a ' t a . B_o a ,matar,m a ' t a 4 ,mataba,m a ' t a . b a ,matar,ma'ta4,mataba,ma'ta.ba
1,matábamos,1,matábamos,matar,matar,VMI,matar,m a ' t a 4 ,matábamos,m a ' t a . B_o a . m o s ,matar,m a ' t a 4 ,matábamos,m a ' t a . b a . m o s ,matar,ma'ta4,matábamos,ma'ta.ba.mos
1.3,mataban,2,mataban,matar,matar,VMI,matar,m a ' t a 4 ,mataban,m a ' t a . B_o a n ,matar,m a ' t a 4 ,mataban,m a ' t a . b a n ,matar,ma'ta4,mataban,ma'ta.ban
1.6,matada,4,matada,matar,matar,VMP,matar,m a ' t a 4 ,matada,m a ' t a . D_o a ,matar,m a ' t a 4 ,matada,m a ' t a . d a ,matar,ma'ta4,matada,ma'ta.da
