5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.78,estabais,6,estabais,estar,estar,VAI,estar,e s ' t a 4 ,estabais,e s ' t a . B_o a i_^ s ,estar,e s ' t a 4 ,estabais,e s ' t a . b a i s ,estar,es'ta4,estabais,es'ta.bais
1.6,estábamos,4,estábamos,estar,estar,VMI,estar,e s ' t a 4 ,estábamos,e s ' t a . B_o a . m o s ,estar,e s ' t a 4 ,estábamos,e s ' t a . b a . m o s ,estar,es'ta4,estábamos,es'ta.ba.mos
2.67,estaban,47,estaban,estar,estar,VMI,estar,e s ' t a 4 ,estaban,e s ' t a . B_o a n ,estar,e s ' t a 4 ,estaban,e s ' t a . b a n ,estar,es'ta4,estaban,es'ta.ban
2,estabas,10,estabas,estar,estar,VMI,estar,e s ' t a 4 ,estabas,e s ' t a . B_o a s ,estar,e s ' t a 4 ,estabas,e s ' t a . b a s ,estar,es'ta4,estabas,es'ta.bas
1.48,establo,3,establo,establo,establo,NC,establo,e s ' t a . B_o l o ,establo,e s ' t a . B_o l o ,establo,e s ' t a . b l o ,establo,e s ' t a . b l o ,establo,es'ta.blo,establo,es'ta.blo
1,estación,1,estación,estación,estación,NC,estación,e s . t a ' T j o n ,estación,e s . t a ' T j o n ,estación,e s . t a ' T j o n ,estación,e s . t a ' T j o n ,estación,es.ta'Tjon,estación,es.ta'Tjon
2.41,estado,26,estado,estado,estado,NC,estado,e s ' t a . D_o o ,estado,e s ' t a . D_o o ,estado,e s ' t a . d o ,estado,e s ' t a . d o ,estado,es'ta.do,estado,es'ta.do
2.15,estáis,14,estáis,estar,estar,VMI,estar,e s ' t a 4 ,estáis,e s ' t a i_^ s ,estar,e s ' t a 4 ,estáis,e s ' t a i s ,estar,es'ta4,estáis,es'tais
1,estallar,1,estallar,estallar,estallar,VMN,estallar,e s . t a ' j\\ a 4 ,estallar,e s . t a ' j\\ a 4 ,estallar,e s . t a ' L a 4 ,estallar,e s . t a ' L a 4 ,estallar,es.ta'La4,estallar,es.ta'La4
2.67,estamos,47,estamos,estar,estar,VMI,estar,e s ' t a 4 ,estamos,e s ' t a . m o s ,estar,e s ' t a 4 ,estamos,e s ' t a . m o s ,estar,es'ta4,estamos,es'ta.mos
4,están,1011,están,estar,estar,VMI,estar,e s ' t a 4 ,están,e s ' t a n ,estar,e s ' t a 4 ,están,e s ' t a n ,estar,es'ta4,están,es'tan
1,estando,1,estando,estar,estar,VMG,estar,e s ' t a 4 ,estando,e s ' t a n_d . d o ,estar,e s ' t a 4 ,estando,e s ' t a n . d o ,estar,es'ta4,estando,es'tan.do
1.7,estantería,5,estantería,estantería,estantería,NC,estantería,e s . t a n_d . t e ' 4 i a ,estantería,e s . t a n_d . t e ' 4 i a ,estantería,e s . t a n . t e ' 4 i a ,estantería,e s . t a n . t e ' 4 i a ,estantería,es.tan.te'4ia,estantería,es.tan.te'4ia
3.13,estar,134,estar,estar,estar,VMN,estar,e s ' t a 4 ,estar,e s ' t a 4 ,estar,e s ' t a 4 ,estar,e s ' t a 4 ,estar,es'ta4,estar,es'ta4
1,estara,1,estara,estara,estara,VMS,estara,e s ' t a . 4 a ,estara,e s ' t a . 4 a ,estara,e s ' t a . 4 a ,estara,e s ' t a . 4 a ,estara,es'ta.4a,estara,es'ta.4a
2.81,estará,65,estará,estar,estar,VMI,estar,e s ' t a 4 ,estará,e s . t a ' 4 a ,estar,e s ' t a 4 ,estará,e s . t a ' 4 a ,estar,es'ta4,estará,es.ta'4a
2.26,estarán,18,estarán,estar,estar,VMI,estar,e s ' t a 4 ,estarán,e s . t a ' 4 a n ,estar,e s ' t a 4 ,estarán,e s . t a ' 4 a n ,estar,es'ta4,estarán,es.ta'4an
1.48,estarás,3,estarás,estar,estar,VMI,estar,e s ' t a 4 ,estarás,e s . t a ' 4 a s ,estar,e s ' t a 4 ,estarás,e s . t a ' 4 a s ,estar,es'ta4,estarás,es.ta'4as
1.48,estaría,3,estaría,estar,estar,VMI,estar,e s ' t a 4 ,estaría,e s . t a ' 4 i a ,estar,e s ' t a 4 ,estaría,e s . t a ' 4 i a ,estar,es'ta4,estaría,es.ta'4ia
1.3,estarían,2,estarían,estar,estar,VMI,estar,e s ' t a 4 ,estarían,e s . t a ' 4 i a n ,estar,e s ' t a 4 ,estarían,e s . t a ' 4 i a n ,estar,es'ta4,estarían,es.ta'4ian
2.76,estas,58,estas,este,este,DD,este,' e s . t e ,estas,' e s . t a s ,este,' e s . t e ,estas,' e s . t a s ,este,'es.te,estas,'es.tas
3.13,estás,136,estás,estar,estar,VMI,estar,e s ' t a 4 ,estás,e s ' t a s ,estar,e s ' t a 4 ,estás,e s ' t a s ,estar,es'ta4,estás,es'tas
2.79,éstas,61,éstas,este,este,PD,este,' e s . t e ,éstas,' e s . t a s ,este,' e s . t e ,éstas,' e s . t a s ,este,'es.te,éstas,'es.tas
3.73,este,541,este,este,este,DD,este,' e s . t e ,este,' e s . t e ,este,' e s . t e ,este,' e s . t e ,este,'es.te,este,'es.te
2.3,esté,20,esté,estar,estar,VMS,estar,e s ' t a 4 ,esté,e s ' t e ,estar,e s ' t a 4 ,esté,e s ' t e ,estar,es'ta4,esté,es'te
4.2,éste,1571,éste,este,este,PD,este,' e s . t e ,éste,' e s . t e ,este,' e s . t e ,éste,' e s . t e ,este,'es.te,éste,'es.te
1,estéis,1,estéis,estar,estar,VAS,estar,e s ' t a 4 ,estéis,e s ' t e i_^ s ,estar,e s ' t a 4 ,estéis,e s ' t e i s ,estar,es'ta4,estéis,es'teis
1,estemos,1,estemos,estar,estar,VMS,estar,e s ' t a 4 ,estemos,e s ' t e . m o s ,estar,e s ' t a 4 ,estemos,e s ' t e . m o s ,estar,es'ta4,estemos,es'te.mos
1.95,estén,9,estén,estar,estar,VMS,estar,e s ' t a 4 ,estén,e s ' t e n ,estar,e s ' t a 4 ,estén,e s ' t e n ,estar,es'ta4,estén,es'ten
1.3,Esther,2,esther,esther,esther,NP,esther,e s ' T e 4 ,Esther,e s ' T e 4 ,esther,e s ' T e 4 ,Esther,e s ' T e 4 ,esther,es'Te4,Esther,es'Te4
1.3,estirar,2,estirar,estirar,estirar,VMN,estirar,e s . t i ' 4 a 4 ,estirar,e s . t i ' 4 a 4 ,estirar,e s . t i ' 4 a 4 ,estirar,e s . t i ' 4 a 4 ,estirar,es.ti'4a4,estirar,es.ti'4a4
1,estiras,1,estiras,estira,estira,NC,estira,e s ' t i . 4 a ,estiras,e s ' t i . 4 a s ,estira,e s ' t i . 4 a ,estiras,e s ' t i . 4 a s ,estira,es'ti.4a,estiras,es'ti.4as
4.18,esto,1518,esto,este,este,PD,este,' e s . t e ,esto,' e s . t o ,este,' e s . t e ,esto,' e s . t o ,este,'es.te,esto,'es.to
1.95,ésto,9,ésto,ésto,ésto,NC,ésto,' e s . t o ,ésto,' e s . t o ,ésto,' e s . t o ,ésto,' e s . t o ,ésto,'es.to,ésto,'es.to
1,estorba,1,estorba,estorbar,estorbar,VMI,estorbar,e s . t o 4 ' B_o a 4 ,estorba,e s ' t o 4 . B_o a ,estorbar,e s . t o 4 ' b a 4 ,estorba,e s ' t o 4 . b a ,estorbar,es.to4'ba4,estorba,es'to4.ba
3.31,estos,205,estos,este,este,DD,este,' e s . t e ,estos,' e s . t o s ,este,' e s . t e ,estos,' e s . t o s ,este,'es.te,estos,'es.tos
3.5,éstos,319,éstos,este,este,PD,este,' e s . t e ,éstos,' e s . t o s ,este,' e s . t e ,éstos,' e s . t o s ,este,'es.te,éstos,'es.tos
2.65,estoy,45,estoy,estar,estar,VMI,estar,e s ' t a 4 ,estoy,e s ' t o i_^ ,estar,e s ' t a 4 ,estoy,e s ' t o i ,estar,es'ta4,estoy,es'toi
1.9,estrella,8,estrella,estrella,estrella,NC,estrella,e s ' t 4 e . j\\ a ,estrella,e s ' t 4 e . j\\ a ,estrella,e s ' t 4 e . L a ,estrella,e s ' t 4 e . L a ,estrella,es't4e.La,estrella,es't4e.La
2.34,estrellas,22,estrellas,estrella,estrella,NC,estrella,e s ' t 4 e . j\\ a ,estrellas,e s ' t 4 e . j\\ a s ,estrella,e s ' t 4 e . L a ,estrellas,e s ' t 4 e . L a s ,estrella,es't4e.La,estrellas,es't4e.Las
1,estrellicas,1,estrellicas,estrella,estrella,NC,estrella,e s ' t 4 e . j\\ a ,estrellicas,e s . t 4 e ' j\\ i . k a s ,estrella,e s ' t 4 e . L a ,estrellicas,e s . t 4 e ' L i . k a s ,estrella,es't4e.La,estrellicas,es.t4e'Li.kas
1.3,estrellita,2,estrellita,estrella,estrella,NC,estrella,e s ' t 4 e . j\\ a ,estrellita,e s . t 4 e ' j\\ i . t a ,estrella,e s ' t 4 e . L a ,estrellita,e s . t 4 e ' L i . t a ,estrella,es't4e.La,estrellita,es.t4e'Li.ta
1.48,estrellitas,3,estrellitas,estrella,estrella,NC,estrella,e s ' t 4 e . j\\ a ,estrellitas,e s . t 4 e ' j\\ i . t a s ,estrella,e s ' t 4 e . L a ,estrellitas,e s . t 4 e ' L i . t a s ,estrella,es't4e.La,estrellitas,es.t4e'Li.tas
1,estropea,1,estropea,estropear,estropear,VMI,estropear,e s . t 4 o . p e ' a 4 ,estropea,e s . t 4 o ' p e . a ,estropear,e s . t 4 o . p e ' a 4 ,estropea,e s . t 4 o ' p e . a ,estropear,es.t4o.pe'a4,estropea,es.t4o'pe.a
1.48,estropeado,3,estropeado,estropear,estropear,VMP,estropear,e s . t 4 o . p e ' a 4 ,estropeado,e s . t 4 o . p e ' a . D_o o ,estropear,e s . t 4 o . p e ' a 4 ,estropeado,e s . t 4 o . p e ' a . d o ,estropear,es.t4o.pe'a4,estropeado,es.t4o.pe'a.do
1,estropeados,1,estropeados,estropear,estropear,VMP,estropear,e s . t 4 o . p e ' a 4 ,estropeados,e s . t 4 o . p e ' a . D_o o s ,estropear,e s . t 4 o . p e ' a 4 ,estropeados,e s . t 4 o . p e ' a . d o s ,estropear,es.t4o.pe'a4,estropeados,es.t4o.pe'a.dos
1,estropean,1,estropean,estropear,estropear,VMI,estropear,e s . t 4 o . p e ' a 4 ,estropean,e s . t 4 o ' p e . a n ,estropear,e s . t 4 o . p e ' a 4 ,estropean,e s . t 4 o ' p e . a n ,estropear,es.t4o.pe'a4,estropean,es.t4o'pe.an
1.3,estropear,2,estropear,estropear,estropear,VMN,estropear,e s . t 4 o . p e ' a 4 ,estropear,e s . t 4 o . p e ' a 4 ,estropear,e s . t 4 o . p e ' a 4 ,estropear,e s . t 4 o . p e ' a 4 ,estropear,es.t4o.pe'a4,estropear,es.t4o.pe'a4
1.48,estudia,3,estudia,estudiar,estudiar,VMI,estudiar,e s . t u ' D_o j a 4 ,estudia,e s ' t u . D_o j a ,estudiar,e s . t u ' d j a 4 ,estudia,e s ' t u . d j a ,estudiar,es.tu'dja4,estudia,es'tu.dja
2.04,estudiando,11,estudiando,estudiar,estudiar,VMG,estudiar,e s . t u ' D_o j a 4 ,estudiando,e s . t u ' D_o j a n_d . d o ,estudiar,e s . t u ' d j a 4 ,estudiando,e s . t u ' d j a n . d o ,estudiar,es.tu'dja4,estudiando,es.tu'djan.do
2.18,estudiar,15,estudiar,estudiar,estudiar,VMN,estudiar,e s . t u ' D_o j a 4 ,estudiar,e s . t u ' D_o j a 4 ,estudiar,e s . t u ' d j a 4 ,estudiar,e s . t u ' d j a 4 ,estudiar,es.tu'dja4,estudiar,es.tu'dja4
1.48,estudias,3,estudias,estudiar,estudiar,VMI,estudiar,e s . t u ' D_o j a 4 ,estudias,e s ' t u . D_o j a s ,estudiar,e s . t u ' d j a 4 ,estudias,e s ' t u . d j a s ,estudiar,es.tu'dja4,estudias,es'tu.djas
1,estudiaste,1,estudiaste,estudiar,estudiar,VMI,estudiar,e s . t u ' D_o j a 4 ,estudiaste,e s . t u ' D_o j a s . t e ,estudiar,e s . t u ' d j a 4 ,estudiaste,e s . t u ' d j a s . t e ,estudiar,es.tu'dja4,estudiaste,es.tu'djas.te
1,estudio,1,estudio,estudio,estudio,NC,estudio,e s ' t u . D_o j o ,estudio,e s ' t u . D_o j o ,estudio,e s ' t u . d j o ,estudio,e s ' t u . d j o ,estudio,es'tu.djo,estudio,es'tu.djo
1.3,estufa,2,estufa,estufa,estufa,NC,estufa,e s ' t u . f a ,estufa,e s ' t u . f a ,estufa,e s ' t u . f a ,estufa,e s ' t u . f a ,estufa,es'tu.fa,estufa,es'tu.fa
1,estupenda,1,estupenda,estupendo,estupendo,AQ,estupendo,e s . t u ' p e n_d . d o ,estupenda,e s . t u ' p e n_d . d a ,estupendo,e s . t u ' p e n . d o ,estupenda,e s . t u ' p e n . d a ,estupendo,es.tu'pen.do,estupenda,es.tu'pen.da
1,estupendamente,1,estupendamente,estupendamente,estupendamente,RG,estupendamente,e s . t u . p e n_d . d a ' m ~e n_d . t e ,estupendamente,e s . t u . p e n_d . d a ' m ~e n_d . t e ,estupendamente,e s . t u . p e n . d a ' m e n . t e ,estupendamente,e s . t u . p e n . d a ' m e n . t e ,estupendamente,es.tu.pen.da'men.te,estupendamente,es.tu.pen.da'men.te
1.95,estupendo,9,estupendo,estupendo,estupendo,AQ,estupendo,e s . t u ' p e n_d . d o ,estupendo,e s . t u ' p e n_d . d o ,estupendo,e s . t u ' p e n . d o ,estupendo,e s . t u ' p e n . d o ,estupendo,es.tu'pen.do,estupendo,es.tu'pen.do
1,estuve,1,estuve,estar,estar,VMI,estar,e s ' t a 4 ,estuve,e s ' t u . B_o e ,estar,e s ' t a 4 ,estuve,e s ' t u . b e ,estar,es'ta4,estuve,es'tu.be
1,estuvieras,1,estuvieras,estar,estar,VAS,estar,e s ' t a 4 ,estuvieras,e s . t u ' B_o j e . 4 a s ,estar,e s ' t a 4 ,estuvieras,e s . t u ' b j e . 4 a s ,estar,es'ta4,estuvieras,es.tu'bje.4as
2.08,estuvimos,12,estuvimos,estar,estar,VMI,estar,e s ' t a 4 ,estuvimos,e s . t u ' B_o i . m o s ,estar,e s ' t a 4 ,estuvimos,e s . t u ' b i . m o s ,estar,es'ta4,estuvimos,es.tu'bi.mos
1.95,estuviste,9,estuviste,estar,estar,VMI,estar,e s ' t a 4 ,estuviste,e s . t u ' B_o i s . t e ,estar,e s ' t a 4 ,estuviste,e s . t u ' b i s . t e ,estar,es'ta4,estuviste,es.tu'bis.te
1,Eugenia,1,eugenia,eugenia,eugenia,NP,eugenia,e u_^ ' x e . n j a ,Eugenia,e u_^ ' x e . n j a ,eugenia,e u ' x e . n j a ,Eugenia,e u ' x e . n j a ,eugenia,eu'xe.nja,Eugenia,eu'xe.nja
1.48,Eurodisney,3,eurodisney,eurodisney,eurodisney,NP,eurodisney,e u_^ . 4 o . D_o i z ' n e i_^ ,Eurodisney,e u_^ . 4 o . D_o i z ' n e i_^ ,eurodisney,e u . 4 o . d i z ' n e i ,Eurodisney,e u . 4 o . d i z ' n e i ,eurodisney,eu.4o.diz'nei,Eurodisney,eu.4o.diz'nei
1.7,eusquera,5,eusquera,eusquera,eusquera,NC,eusquera,e u_^ s ' k e . 4 a ,eusquera,e u_^ s ' k e . 4 a ,eusquera,e u s ' k e . 4 a ,eusquera,e u s ' k e . 4 a ,eusquera,eus'ke.4a,eusquera,eus'ke.4a
1.3,exactamente,2,exactamente,exactamente,exactamente,RG,exactamente,e k . s a g . t a ' m ~e n_d . t e ,exactamente,e k . s a g . t a ' m ~e n_d . t e ,exactamente,e k . s a g . t a ' m e n . t e ,exactamente,e k . s a g . t a ' m e n . t e ,exactamente,ek.sag.ta'men.te,exactamente,ek.sag.ta'men.te
1,exacto,1,exacto,exacto,exacto,AQ,exacto,e k ' s a g . t o ,exacto,e k ' s a g . t o ,exacto,e k ' s a g . t o ,exacto,e k ' s a g . t o ,exacto,ek'sag.to,exacto,ek'sag.to
1.48,exagerado,3,exagerado,exagerar,exagerar,VMP,exagerar,e k . s a . x e ' 4 a 4 ,exagerado,e k . s a . x e ' 4 a . D_o o ,exagerar,e k . s a . x e ' 4 a 4 ,exagerado,e k . s a . x e ' 4 a . d o ,exagerar,ek.sa.xe'4a4,exagerado,ek.sa.xe'4a.do
1,excavadora,1,excavadora,excavador,excavador,AQ,excavador,e s . k a . B_o a ' D_o o 4 ,excavadora,e s . k a . B_o a ' D_o o . 4 a ,excavador,e s . k a . b a ' d o 4 ,excavadora,e s . k a . b a ' d o . 4 a ,excavador,es.ka.ba'do4,excavadora,es.ka.ba'do.4a
2.54,excursión,35,excursión,excursión,excursión,NC,excursión,e s . k u 4 ' s j o n ,excursión,e s . k u 4 ' s j o n ,excursión,e s . k u 4 ' s j o n ,excursión,e s . k u 4 ' s j o n ,excursión,es.ku4'sjon,excursión,es.ku4'sjon
1.3,existe,2,existe,existir,existir,VMI,existir,e k . s i s ' t i 4 ,existe,e k ' s i s . t e ,existir,e k . s i s ' t i 4 ,existe,e k ' s i s . t e ,existir,ek.sis'ti4,existe,ek'sis.te
1,existen,1,existen,existir,existir,VMI,existir,e k . s i s ' t i 4 ,existen,e k ' s i s . t e n ,existir,e k . s i s ' t i 4 ,existen,e k ' s i s . t e n ,existir,ek.sis'ti4,existen,ek'sis.ten
1,existía,1,existía,existir,existir,VMI,existir,e k . s i s ' t i 4 ,existía,e k . s i s ' t i a ,existir,e k . s i s ' t i 4 ,existía,e k . s i s ' t i a ,existir,ek.sis'ti4,existía,ek.sis'tia
1,explica,1,explica,explicar,explicar,VMI,explicar,e k s . p l i ' k a 4 ,explica,e k s ' p l i . k a ,explicar,e k s . p l i ' k a 4 ,explica,e k s ' p l i . k a ,explicar,eks.pli'ka4,explica,eks'pli.ka
1.3,explicado,2,explicado,explicar,explicar,VMP,explicar,e k s . p l i ' k a 4 ,explicado,e k s . p l i ' k a . D_o o ,explicar,e k s . p l i ' k a 4 ,explicado,e k s . p l i ' k a . d o ,explicar,eks.pli'ka4,explicado,eks.pli'ka.do
2.04,explícame,11,explícame,explicar+me,explicar,VMM+PP,explicar,e k s . p l i ' k a 4 ,explícame,e k s ' p l i . k a . m e ,explicar,e k s . p l i ' k a 4 ,explícame,e k s ' p l i . k a . m e ,explicar,eks.pli'ka4,explícame,eks'pli.ka.me
1,explicando,1,explicando,explicar,explicar,VMG,explicar,e k s . p l i ' k a 4 ,explicando,e k s . p l i ' k a n_d . d o ,explicar,e k s . p l i ' k a 4 ,explicando,e k s . p l i ' k a n . d o ,explicar,eks.pli'ka4,explicando,eks.pli'kan.do
1.6,explicar,4,explicar,explicar,explicar,VMN,explicar,e k s . p l i ' k a 4 ,explicar,e k s . p l i ' k a 4 ,explicar,e k s . p l i ' k a 4 ,explicar,e k s . p l i ' k a 4 ,explicar,eks.pli'ka4,explicar,eks.pli'ka4
1.78,explicas,6,explicas,explicar,explicar,VMI,explicar,e k s . p l i ' k a 4 ,explicas,e k s ' p l i . k a s ,explicar,e k s . p l i ' k a 4 ,explicas,e k s ' p l i . k a s ,explicar,eks.pli'ka4,explicas,eks'pli.kas
1,explico,1,explico,explicar,explicar,VMI,explicar,e k s . p l i ' k a 4 ,explico,e k s ' p l i . k o ,explicar,e k s . p l i ' k a 4 ,explico,e k s ' p l i . k o ,explicar,eks.pli'ka4,explico,eks'pli.ko
1,explique,1,explique,explicar,explicar,VMS,explicar,e k s . p l i ' k a 4 ,explique,e k s ' p l i . k e ,explicar,e k s . p l i ' k a 4 ,explique,e k s ' p l i . k e ,explicar,eks.pli'ka4,explique,eks'pli.ke
1,explotó,1,explotó,explotar,explotar,VMI,explotar,e k s . p l o ' t a 4 ,explotó,e k s . p l o ' t o ,explotar,e k s . p l o ' t a 4 ,explotó,e k s . p l o ' t o ,explotar,eks.plo'ta4,explotó,eks.plo'to
1.3,extraña,2,extraña,extrañar,extrañar,VMI,extrañar,e k s . t 4 a ' J a 4 ,extraña,e k s ' t 4 a . J a ,extrañar,e k s . t 4 a ' J a 4 ,extraña,e k s ' t 4 a . J a ,extrañar,eks.t4a'Ja4,extraña,eks't4a.Ja
1.6,fácil,4,fácil,fácil,fácil,AQ,fácil,' f a . T i l ,fácil,' f a . T i l ,fácil,' f a . T i l ,fácil,' f a . T i l ,fácil,'fa.Til,fácil,'fa.Til
1.9,faena,8,faena,faena,faena,NC,faena,f a ' e . n a ,faena,f a ' e . n a ,faena,f a ' e . n a ,faena,f a ' e . n a ,faena,fa'e.na,faena,fa'e.na
1,Falbalá,1,falbalá,falbalá,falbalá,NP,falbalá,f a l . B_o a ' l a ,Falbalá,f a l . B_o a ' l a ,falbalá,f a l . b a ' l a ,Falbalá,f a l . b a ' l a ,falbalá,fal.ba'la,Falbalá,fal.ba'la
1,falda,1,falda,falda,falda,NC,falda,' f a l_d . d a ,falda,' f a l_d . d a ,falda,' f a l . d a ,falda,' f a l . d a ,falda,'fal.da,falda,'fal.da
1.3,faldas,2,faldas,falda,falda,NC,falda,' f a l_d . d a ,faldas,' f a l_d . d a s ,falda,' f a l . d a ,faldas,' f a l . d a s ,falda,'fal.da,faldas,'fal.das
3.24,falta,173,falta,falta,falta,NC,falta,' f a l_d . t a ,falta,' f a l_d . t a ,falta,' f a l . t a ,falta,' f a l . t a ,falta,'fal.ta,falta,'fal.ta
1.6,faltaba,4,faltaba,faltar,faltar,VMI,faltar,f a l_d ' t a 4 ,faltaba,f a l_d ' t a . B_o a ,faltar,f a l ' t a 4 ,faltaba,f a l ' t a . b a ,faltar,fal'ta4,faltaba,fal'ta.ba
1,faltaban,1,faltaban,faltar,faltar,VMI,faltar,f a l_d ' t a 4 ,faltaban,f a l_d ' t a . B_o a n ,faltar,f a l ' t a 4 ,faltaban,f a l ' t a . b a n ,faltar,fal'ta4,faltaban,fal'ta.ban
1,faltado,1,faltado,faltar,faltar,VMP,faltar,f a l_d ' t a 4 ,faltado,f a l_d ' t a . D_o o ,faltar,f a l ' t a 4 ,faltado,f a l ' t a . d o ,faltar,fal'ta4,faltado,fal'ta.do
2.34,faltan,22,faltan,faltar,faltar,VMI,faltar,f a l_d ' t a 4 ,faltan,' f a l_d . t a n ,faltar,f a l ' t a 4 ,faltan,' f a l . t a n ,faltar,fal'ta4,faltan,'fal.tan
1,faltaría,1,faltaría,faltar,faltar,VMI,faltar,f a l_d ' t a 4 ,faltaría,f a l_d . t a ' 4 i a ,faltar,f a l ' t a 4 ,faltaría,f a l . t a ' 4 i a ,faltar,fal'ta4,faltaría,fal.ta'4ia
2.28,familia,19,familia,familia,familia,NC,familia,f a ' m i . l j a ,familia,f a ' m i . l j a ,familia,f a ' m i . l j a ,familia,f a ' m i . l j a ,familia,fa'mi.lja,familia,fa'mi.lja
1,familiar,1,familiar,familiar,familiar,AQ,familiar,f a . m i ' l j a 4 ,familiar,f a . m i ' l j a 4 ,familiar,f a . m i ' l j a 4 ,familiar,f a . m i ' l j a 4 ,familiar,fa.mi'lja4,familiar,fa.mi'lja4
1,fantasma,1,fantasma,fantasma,fantasma,NC,fantasma,f a n_d ' t a z . m a ,fantasma,f a n_d ' t a z . m a ,fantasma,f a n ' t a z . m a ,fantasma,f a n ' t a z . m a ,fantasma,fan'taz.ma,fantasma,fan'taz.ma
1,fantástico,1,fantástico,fantástico,fantástico,AQ,fantástico,f a n_d ' t a s . t i . k o ,fantástico,f a n_d ' t a s . t i . k o ,fantástico,f a n ' t a s . t i . k o ,fantástico,f a n ' t a s . t i . k o ,fantástico,fan'tas.ti.ko,fantástico,fan'tas.ti.ko
1,faros,1,faros,faro,faro,NC,faro,' f a . 4 o ,faros,' f a . 4 o s ,faro,' f a . 4 o ,faros,' f a . 4 o s ,faro,'fa.4o,faros,'fa.4os
1,fastidia,1,fastidia,fastidiar,fastidiar,VMI,fastidiar,f a s . t i ' D_o j a 4 ,fastidia,f a s ' t i . D_o j a ,fastidiar,f a s . t i ' d j a 4 ,fastidia,f a s ' t i . d j a ,fastidiar,fas.ti'dja4,fastidia,fas'ti.dja
2.26,favor,18,favor,favor,favor,NC,favor,f a ' B_o o 4 ,favor,f a ' B_o o 4 ,favor,f a ' b o 4 ,favor,f a ' b o 4 ,favor,fa'bo4,favor,fa'bo4
1,favorita,1,favorita,favorito,favorito,NC,favorito,f a . B_o o ' 4 i . t o ,favorita,f a . B_o o ' 4 i . t a ,favorito,f a . b o ' 4 i . t o ,favorita,f a . b o ' 4 i . t a ,favorito,fa.bo'4i.to,favorita,fa.bo'4i.ta
1.48,fea,3,fea,feo,feo,AQ,feo,' f e . o ,fea,' f e . a ,feo,' f e . o ,fea,' f e . a ,feo,'fe.o,fea,'fe.a
1,feas,1,feas,feo,feo,AQ,feo,' f e . o ,feas,' f e . a s ,feo,' f e . o ,feas,' f e . a s ,feo,'fe.o,feas,'fe.as
1,felices,1,felices,feliz,feliz,AQ,feliz,f e ' l i T ,felices,f e ' l i . T e s ,feliz,f e ' l i T ,felices,f e ' l i . T e s ,feliz,fe'liT,felices,fe'li.Tes
1.3,felicidades,2,felicidades,felicidad,felicidad,NC,felicidad,f e . l i . T i ' D_o a D ,felicidades,f e . l i . T i ' D_o a . D_o e s ,felicidad,f e . l i . T i ' d a d ,felicidades,f e . l i . T i ' d a . d e s ,felicidad,fe.li.Ti'dad,felicidades,fe.li.Ti'da.des
1,felicitado,1,felicitado,felicitar,felicitar,VMP,felicitar,f e . l i . T i ' t a 4 ,felicitado,f e . l i . T i ' t a . D_o o ,felicitar,f e . l i . T i ' t a 4 ,felicitado,f e . l i . T i ' t a . d o ,felicitar,fe.li.Ti'ta4,felicitado,fe.li.Ti'ta.do
1,felicitas,1,felicitas,felicitar,felicitar,VMI,felicitar,f e . l i . T i ' t a 4 ,felicitas,f e . l i ' T i . t a s ,felicitar,f e . l i . T i ' t a 4 ,felicitas,f e . l i ' T i . t a s ,felicitar,fe.li.Ti'ta4,felicitas,fe.li'Ti.tas
1,Felipe,1,felipe,felipe,felipe,NP,felipe,f e ' l i . p e ,Felipe,f e ' l i . p e ,felipe,f e ' l i . p e ,Felipe,f e ' l i . p e ,felipe,fe'li.pe,Felipe,fe'li.pe
1.3,Felisa,2,felisa,felisa,felisa,NP,felisa,f e ' l i . s a ,Felisa,f e ' l i . s a ,felisa,f e ' l i . s a ,Felisa,f e ' l i . s a ,felisa,fe'li.sa,Felisa,fe'li.sa
1.3,Felisín,2,felisín,felisín,felisín,NP,felisín,f e . l i ' s i n ,Felisín,f e . l i ' s i n ,felisín,f e . l i ' s i n ,Felisín,f e . l i ' s i n ,felisín,fe.li'sin,Felisín,fe.li'sin
2.28,feliz,19,feliz,feliz,feliz,AQ,feliz,f e ' l i T ,feliz,f e ' l i T ,feliz,f e ' l i T ,feliz,f e ' l i T ,feliz,fe'liT,feliz,fe'liT
1.48,fenomenal,3,fenomenal,fenomenal,fenomenal,AQ,fenomenal,f e . n ~o . m ~e ' n a l ,fenomenal,f e . n ~o . m ~e ' n a l ,fenomenal,f e . n o . m e ' n a l ,fenomenal,f e . n o . m e ' n a l ,fenomenal,fe.no.me'nal,fenomenal,fe.no.me'nal
1.6,feo,4,feo,feo,feo,AQ,feo,' f e . o ,feo,' f e . o ,feo,' f e . o ,feo,' f e . o ,feo,'fe.o,feo,'fe.o
1,feos,1,feos,feo,feo,AQ,feo,' f e . o ,feos,' f e . o s ,feo,' f e . o ,feos,' f e . o s ,feo,'fe.o,feos,'fe.os
1.85,Fermín,7,fermín,fermín,fermín,NP,fermín,f e 4 ' m ~i n ,Fermín,f e 4 ' m ~i n ,fermín,f e 4 ' m i n ,Fermín,f e 4 ' m i n ,fermín,fe4'min,Fermín,fe4'min
